trial,stage,test_accuracy,test_nll,parameters_per_stage,total_parameters
0,1,46.69,1.7786410160064696,110912,110912
0,2,57.11,1.2741978580474853,110912,221824
0,3,84.47,0.8604695824623108,110912,332736
0,4,85.77,0.6542757071495057,110912,443648
0,5,89.25,0.5057100517272949,110912,554560
0,6,89.34,0.4803084226608276,110912,665472
0,7,91.31,0.3823233377456665,110912,776384
0,8,91.82,0.3676377055168152,110912,887296
1,1,35.62,1.803256541824341,110912,110912
1,2,57.93,1.3648982938766479,110912,221824
1,3,81.16,0.8592051515579223,110912,332736
1,4,88.3,0.6409340022087097,110912,443648
1,5,90.57,0.5538052879333496,110912,554560
1,6,91.96,0.4411918941497803,110912,665472
1,7,92.64,0.36562654619216917,110912,776384
1,8,92.68,0.3554080529212952,110912,887296
2,1,51.81,1.7485292911529542,110912,110912
2,2,61.9,1.317044585609436,110912,221824
2,3,73.2,0.9292662630081177,110912,332736
2,4,82.43,0.7175367798805237,110912,443648
2,5,89.92,0.5528657114028931,110912,554560
2,6,91.03,0.47714006309509277,110912,665472
2,7,91.88,0.41617001819610594,110912,776384
2,8,92.4,0.38343966102600097,110912,887296
