trial,stage,test_accuracy,test_nll,parameters_per_stage,total_parameters
0,1,46.69,1.7786410160064696,110912,110912
0,2,66.49,1.4352311264038087,110912,221824
0,3,79.07,1.1587230184555053,110912,332736
0,4,81.05,0.9206669959068299,110912,443648
0,5,89.63,0.7494354362487793,110912,554560
0,6,91.17,0.642343129825592,110912,665472
0,7,91.87,0.5916483817100525,110912,776384
0,8,92.54,0.49365473737716675,110912,887296
1,1,35.62,1.803256541824341,110912,110912
1,2,60.5,1.442038251876831,110912,221824
1,3,79.01,1.0770897113800049,110912,332736
1,4,88.96,0.8062003576278687,110912,443648
1,5,90.09,0.6747755744934082,110912,554560
1,6,91.26,0.5723659457206726,110912,665472
1,7,91.97,0.5049778900146484,110912,776384
1,8,93.0,0.4619025318145752,110912,887296
2,1,51.81,1.7485292911529542,110912,110912
2,2,75.93,1.3372851085662842,110912,221824
2,3,82.29,1.045164591217041,110912,332736
2,4,87.04,0.960601935005188,110912,443648
2,5,89.71,0.7988499486923217,110912,554560
2,6,90.93,0.6627901885032654,110912,665472
2,7,90.84,0.5975348647117614,110912,776384
2,8,90.6,0.5741452893257141,110912,887296
