trial,stage,epoch,train_loss,test_accuracy,test_nll
0,1,1,2.2998191548665363,21.56,2.114616913986206
0,1,2,2.181549267578125,26.8,2.031414354324341
0,1,3,2.1556291767120364,28.94,2.0156207012176512
0,1,4,2.140093918991089,30.64,1.9956760749816895
0,1,5,2.13483279393514,30.73,1.9742736953735351
0,1,6,2.1198643957773844,32.14,1.9455500415802003
0,1,7,2.1153496326446533,32.07,1.9478235877990722
0,1,8,2.1218408351898193,31.96,1.94873037109375
0,1,9,2.1166860416412354,33.11,1.9408032165527345
0,1,10,2.1187414494832355,31.92,1.955609044456482
0,1,11,2.115531177775065,32.63,1.9329489925384522
0,1,12,2.1134095417022705,32.6,1.9414915069580079
0,1,13,2.1040888100306194,32.92,1.912436902809143
0,1,14,2.103190743891398,32.72,1.9281008167266847
0,1,15,2.1003531370798747,32.35,1.935328918838501
0,1,16,2.0950356624603272,32.51,1.923176392173767
0,1,17,2.1039317879994712,32.27,1.9179893560409547
0,1,18,2.094253556251526,32.3,1.928391039276123
0,1,19,2.0920640377044677,33.24,1.9122817384719848
0,1,20,2.0947263450622557,31.24,1.908095372581482
0,1,21,2.0945774735768636,31.51,1.9429173286437988
0,1,22,2.1052729053497314,31.3,1.9427348329544067
0,1,23,2.0974079639434815,32.32,1.9242344480514526
0,1,24,2.0876947048187255,31.93,1.9256261405944823
0,1,25,2.0898959891001385,31.58,1.9170191026687622
0,1,26,2.083366743850708,33.67,1.9108759576797485
0,1,27,2.096991824976603,31.99,1.9139043893814087
0,1,28,2.0908646597544354,32.72,1.9560084213256836
0,1,29,2.087167470550537,31.57,1.9257665765762328
0,1,30,2.1007121012369794,31.24,1.9267390880584716
0,2,1,2.0924755500157675,34.31,1.7833739393234254
0,2,2,1.990782486216227,42.11,1.7006287664413453
0,2,3,1.9556004032770793,47.44,1.6674064052581787
0,2,4,1.9342533519744873,46.63,1.6420223455429077
0,2,5,1.92820698928833,47.93,1.6247933912277222
0,2,6,1.9159685075759887,47.79,1.6405282577514648
0,2,7,1.9123268304189047,48.78,1.627425725364685
0,2,8,1.9054429192225137,49.15,1.6244544580459594
0,2,9,1.909758769162496,49.08,1.6168225086212158
0,2,10,1.9055819241841634,49.51,1.5971770572662354
0,2,11,1.9013461206436157,50.29,1.605841944885254
0,2,12,1.910409241549174,50.5,1.603902116394043
0,2,13,1.8982170566558838,50.16,1.6356131885528564
0,2,14,1.9057544679641725,50.38,1.589127244567871
0,2,15,1.902665451558431,49.59,1.597220308494568
0,2,16,1.902838690630595,50.22,1.5887980422973633
0,2,17,1.8949094820658365,51.7,1.5657811138153077
0,2,18,1.8950774081548054,52.52,1.5578290010452271
0,2,19,1.896913424173991,52.54,1.5719151927947999
0,2,20,1.884256657854716,52.13,1.5682719039916992
0,2,21,1.8929039967854817,52.73,1.5546939525604249
0,2,22,1.8954370275497436,52.81,1.5859998346328736
0,2,23,1.8898641932169595,52.34,1.5772604804992676
0,2,24,1.8915376342773438,53.46,1.5746059944152833
0,2,25,1.885812315114339,52.1,1.5973840076446533
0,2,26,1.8876269938151042,52.39,1.602077659034729
0,2,27,1.8915551488876343,52.54,1.5836803524017333
0,2,28,1.8865156067530313,53.51,1.566554479789734
0,2,29,1.8848827718734742,53.85,1.5588319976806642
0,2,30,1.8843301928202312,53.83,1.5472397762298584
0,3,1,1.9511996200561523,41.97,1.581614532852173
0,3,2,1.8639304524739584,49.5,1.4709413705825807
0,3,3,1.8034660638809203,54.85,1.3789971015930176
0,3,4,1.7720960704167683,56.37,1.3783747247695923
0,3,5,1.774109148724874,57.78,1.39081035861969
0,3,6,1.7608521204630534,59.28,1.324803074645996
0,3,7,1.7662300451278687,59.37,1.3326411546707153
0,3,8,1.7630381916681925,58.72,1.3311898403167726
0,3,9,1.748181237856547,60.18,1.3394953676223755
0,3,10,1.7565760590235393,59.72,1.3352527652740478
0,3,11,1.7443261838277182,59.55,1.3207183303833008
0,3,12,1.7526603577295938,59.25,1.2922579706192017
0,3,13,1.7483266930262247,59.02,1.324608344078064
0,3,14,1.7459953495661418,59.33,1.3198605291366576
0,3,15,1.7589162968317669,59.7,1.2947942924499511
0,3,16,1.7443938494364422,58.7,1.3332718576431275
0,3,17,1.752218167368571,59.76,1.318427967262268
0,3,18,1.743172314453125,59.11,1.3172521907806396
0,3,19,1.7532879000345867,59.14,1.3176196897506713
0,3,20,1.746925114440918,59.0,1.3078117319107057
0,3,21,1.7456014800389608,59.55,1.3376268007278442
0,3,22,1.7443074663798015,59.85,1.3246039869308472
0,3,23,1.7437807398478191,59.47,1.3247807777404785
0,3,24,1.7562254724502564,59.41,1.3003762693405152
0,3,25,1.730393284034729,59.94,1.2880117012023926
0,3,26,1.7234819412867228,59.14,1.2940545213699342
0,3,27,1.7286086115519206,58.44,1.257621930885315
0,3,28,1.7217188220342001,58.65,1.2950938110351562
0,3,29,1.7222985404332478,58.95,1.268807455444336
0,3,30,1.7207263762791951,59.1,1.3113636728286744
0,4,1,1.7529315871556599,54.63,1.314542787361145
0,4,2,1.7225003443400064,57.09,1.2581381505966187
0,4,3,1.6701226229349773,61.29,1.2323055629730224
0,4,4,1.646860935974121,64.38,1.1629389394760132
0,4,5,1.645570427385966,64.9,1.161587310218811
0,4,6,1.6173612382888793,64.97,1.13380263671875
0,4,7,1.616017408688863,65.53,1.1547971946716309
0,4,8,1.6184227221806844,65.83,1.133629508972168
0,4,9,1.607130407142639,66.55,1.126700121116638
0,4,10,1.6090567271550495,65.87,1.150790472984314
0,4,11,1.6111947880427042,66.33,1.1269080089569092
0,4,12,1.6006746672948202,66.2,1.109751655960083
0,4,13,1.6135038827896118,66.12,1.137047352218628
0,4,14,1.612715217844645,65.99,1.1376489685058593
0,4,15,1.614238758913676,66.91,1.1105166996002198
0,4,16,1.610371880086263,65.63,1.1495374542236327
0,4,17,1.6091574139912923,66.2,1.114170139503479
0,4,18,1.6039297226587932,66.45,1.1176510398864745
0,4,19,1.6007300003051759,65.91,1.1429960046768188
0,4,20,1.59859708665212,66.69,1.1306916074752809
0,4,21,1.6025411102930704,66.23,1.1274854091644286
0,4,22,1.59820515499115,66.76,1.1102788928985596
0,4,23,1.6082696945826214,65.89,1.1259892318725586
0,4,24,1.605402685546875,66.62,1.1238821678161621
0,4,25,1.6038914196650187,66.34,1.1357967775344848
0,4,26,1.6058968302408854,66.56,1.1461218196868896
0,4,27,1.6100955380121866,66.2,1.122321724319458
0,4,28,1.5944418166478476,66.22,1.1132911260604859
0,4,29,1.6028454799016316,66.47,1.1218118938446044
0,4,30,1.5882306638717651,65.65,1.1262101078033446
0,5,1,1.6311679138819377,67.53,1.0766159992218018
0,5,2,1.559465845298767,69.8,1.0574259826660157
0,5,3,1.5429177505493163,70.25,1.0326247207641601
0,5,4,1.5173762039820353,71.53,1.0238326705932617
0,5,5,1.4979403884251912,72.42,0.979851162147522
0,5,6,1.4907821197509765,72.48,1.0096050268173218
0,5,7,1.4918056683858236,73.05,0.98669713306427
0,5,8,1.4950115254084269,73.16,0.9898419244766236
0,5,9,1.4846728878657023,73.18,0.9538333408355713
0,5,10,1.4935389749526977,72.37,0.9667286010742188
0,5,11,1.491999872080485,73.68,0.9766358767509461
0,5,12,1.480116603088379,73.34,0.9575933051109314
0,5,13,1.4806210643132527,73.5,0.971183783531189
0,5,14,1.4883815012613932,72.69,0.9867693771362305
0,5,15,1.4720532072703043,72.73,0.9627680290222168
0,5,16,1.482173559252421,73.23,0.9449917129516602
0,5,17,1.5002837045669555,73.02,0.995611153793335
0,5,18,1.4842237229029338,73.6,0.9452652684211731
0,5,19,1.4696828821818033,73.07,0.9682382709503173
0,5,20,1.4812166694641113,73.51,0.9671194705963134
0,5,21,1.4683306030273438,73.83,0.9301080594062805
0,5,22,1.4600155112584432,73.56,0.9621845433235169
0,5,23,1.4746382768630981,73.65,0.9507977990150451
0,5,24,1.4662104975382486,73.62,0.9461893798828125
0,5,25,1.4723392806371054,72.95,0.9634403030395507
0,5,26,1.4746773137410483,73.67,0.9579830772399902
0,5,27,1.4734091649373373,73.41,0.9557838047027588
0,5,28,1.4754693099339804,73.22,0.9643017900466919
0,5,29,1.4640188542048136,73.3,0.9770585886955261
0,5,30,1.4651926261901855,73.1,0.9678749473571777
0,6,1,1.5167512748718261,71.62,0.9546018278121948
0,6,2,1.443667382367452,75.12,0.8962030582427979
0,6,3,1.3986698520024619,77.36,0.8710063936233521
0,6,4,1.3707483123143513,78.42,0.8511094909667969
0,6,5,1.3628772736231487,78.77,0.8329720469474793
0,6,6,1.3636644145329793,79.4,0.8352097580909729
0,6,7,1.3620209679285684,79.63,0.8422080052375793
0,6,8,1.3529376338322958,80.29,0.8473318964958191
0,6,9,1.3461027605056763,80.07,0.8603946618080139
0,6,10,1.3524704601923625,80.72,0.8142215666770936
0,6,11,1.3561673285802205,80.61,0.8281130833625794
0,6,12,1.3486399792989094,80.21,0.8238157073020935
0,6,13,1.3385209046045938,80.28,0.8685965998649597
0,6,14,1.3505998903274536,80.04,0.7997751534461975
0,6,15,1.3524103525797526,81.12,0.8143946413993836
0,6,16,1.3522560254414877,81.07,0.8111217009544373
0,6,17,1.3537055134455362,81.08,0.8088225044250489
0,6,18,1.3566929361979168,80.84,0.8215568573951721
0,6,19,1.3339251594543458,80.69,0.8343156861305236
0,6,20,1.3399871093114217,80.73,0.8314778202056885
0,6,21,1.3337193061192831,81.42,0.8110525665283204
0,6,22,1.341110563659668,81.81,0.7897995462417603
0,6,23,1.3349289399464925,81.45,0.7922858909606934
0,6,24,1.3385491729736327,81.05,0.82407505235672
0,6,25,1.3300809707005818,81.1,0.8321171837806701
0,6,26,1.3387502527236939,81.58,0.7878710909843445
0,6,27,1.3315842898050945,81.15,0.8147684579849244
0,6,28,1.3359906171162923,80.47,0.8146138396263123
0,6,29,1.3367234026590984,81.23,0.8273306095123291
0,6,30,1.3311544558207193,81.45,0.8242681765556336
0,7,1,1.3514110242843629,78.06,0.7930942779541016
0,7,2,1.3368152124404906,80.92,0.7769210344314575
0,7,3,1.3069664503097533,81.64,0.7705810400009155
0,7,4,1.2814497816085815,81.93,0.7778531439781189
0,7,5,1.2681444167455038,82.64,0.7763787559509278
0,7,6,1.2667134216308593,83.12,0.7476580131530761
0,7,7,1.2541529489517211,83.34,0.7654559966087341
0,7,8,1.2486059290568035,83.07,0.7482988867759705
0,7,9,1.261989159075419,83.14,0.7516969055175782
0,7,10,1.254174800046285,83.78,0.7593490184783935
0,7,11,1.2434430006027222,83.81,0.730705014705658
0,7,12,1.2357643369674682,83.65,0.7354466590881348
0,7,13,1.2361520345687866,83.97,0.7355712371826172
0,7,14,1.2340273745218913,83.66,0.71878501663208
0,7,15,1.2319883075078328,84.17,0.7216438654899597
0,7,16,1.2409975449244182,84.25,0.7102719658851624
0,7,17,1.2262922636032105,83.55,0.7259045008659363
0,7,18,1.2301394708633422,84.61,0.7075441994667053
0,7,19,1.2278425178527832,84.95,0.7012075074195862
0,7,20,1.2220537921269734,83.91,0.7139422430038452
0,7,21,1.238190360768636,84.17,0.7177708488464355
0,7,22,1.2216542884190877,83.64,0.6981346948623657
0,7,23,1.2162644667943319,84.56,0.7024440370559693
0,7,24,1.2182780864079794,84.13,0.7101343357086182
0,7,25,1.2280007862726847,84.34,0.7133801665306091
0,7,26,1.2188769014994303,84.2,0.7311091889381409
0,7,27,1.2225241722106934,84.31,0.7114268950462341
0,7,28,1.2218497792561849,84.55,0.7000884016036988
0,7,29,1.234458619117737,84.41,0.688159758758545
0,7,30,1.2239843373616537,84.3,0.6877264203071595
0,8,1,1.2530052109400431,83.43,0.7315584876060486
0,8,2,1.201813971455892,85.22,0.7047908533096313
0,8,3,1.195740568415324,84.95,0.6827584308624267
0,8,4,1.180084158039093,85.44,0.6493975440025329
0,8,5,1.1706115192731221,84.85,0.6655804155349732
0,8,6,1.1615794180552164,85.2,0.657758189868927
0,8,7,1.1615967953364055,85.6,0.6459856652259827
0,8,8,1.1635628465016683,85.65,0.6524186652183532
0,8,9,1.1518248392740886,85.23,0.6472802434921264
0,8,10,1.1401772066752116,85.23,0.6383943428993225
0,8,11,1.1470018559773763,85.92,0.6372269939422608
0,8,12,1.1551592166264852,85.51,0.6408004550933838
0,8,13,1.1327517822583517,85.79,0.6425672874450684
0,8,14,1.1426314153353374,85.52,0.6386163352966309
0,8,15,1.1373414028803508,85.52,0.6482532779693604
0,8,16,1.1430719700495402,85.55,0.6462164048194885
0,8,17,1.1395515853246052,86.04,0.625188265800476
0,8,18,1.1486496609369914,85.74,0.6667492538452149
0,8,19,1.1416985712687175,85.85,0.6278344485282898
0,8,20,1.140331986172994,86.07,0.6089817630767822
0,8,21,1.1385771293004354,86.09,0.612025872039795
0,8,22,1.1344930855115254,85.92,0.6344028493881225
0,8,23,1.1494704100290933,86.32,0.612233810043335
0,8,24,1.1336090746561687,86.15,0.6431145272254943
0,8,25,1.1521588684399924,86.07,0.6399087059020996
0,8,26,1.146900481414795,85.67,0.6296094036102295
0,8,27,1.1453871185302735,86.31,0.634517556476593
0,8,28,1.1435010025024415,86.16,0.6393035512924194
0,8,29,1.1391901484807332,85.79,0.6210203876495362
0,8,30,1.1408255520502726,86.1,0.6195590100288391
1,1,1,2.3178488229115803,12.73,2.2233551876068116
1,1,2,2.2419167278289795,14.4,2.109955860900879
1,1,3,2.194158481470744,22.18,2.0459733150482178
1,1,4,2.1615566349029542,24.06,2.002129578399658
1,1,5,2.1486575146993,23.73,2.0020834590911867
