trial,stage,test_accuracy,test_nll,parameters_per_stage,total_parameters
0,1,31.86,1.9138998472213744,110912,110912
0,2,54.69,1.5435566270828247,110912,221824
0,3,59.87,1.2594128435134888,110912,332736
0,4,65.78,1.1303937295913695,110912,443648
0,5,73.16,0.9445456544876099,110912,554560
0,6,81.18,0.8029227014541626,110912,665472
0,7,84.6,0.7115550209999084,110912,776384
0,8,86.32,0.6591649192810058,110912,887296
1,1,27.56,1.909862335395813,110912,110912
1,2,48.76,1.5744397672653199,110912,221824
1,3,61.37,1.2717393491744995,110912,332736
1,4,69.9,1.1031954071044923,110912,443648
1,5,77.9,0.9123453294754028,110912,554560
1,6,79.79,0.8273876586914063,110912,665472
1,7,82.89,0.6967573699951172,110912,776384
1,8,85.59,0.6255041118621826,110912,887296
2,1,32.89,1.919324055480957,110912,110912
2,2,48.91,1.564747560119629,110912,221824
2,3,60.39,1.302538056564331,110912,332736
2,4,62.91,1.171278892326355,110912,443648
2,5,73.14,0.9648878633499145,110912,554560
2,6,77.75,0.8206308922767639,110912,665472
2,7,81.17,0.7270167564392089,110912,776384
2,8,82.46,0.6882727595329284,110912,887296
