trial,stage,epoch,train_loss,test_accuracy,test_nll
0,1,1,1.5938473353068034,55.71,1.2174006994247437
0,1,2,1.0328116843859354,72.2,0.9540028617858887
0,1,3,0.8175750050544739,82.01,0.7919793820381165
0,1,4,0.671309252802531,82.56,0.6970740019798278
0,1,5,0.5717828199386596,83.12,0.66089750623703
0,1,6,0.5062707435290019,83.19,0.5799176345825195
0,1,7,0.4220988799413045,91.46,0.511945435333252
0,1,8,0.3326948753674825,93.41,0.4598917327880859
0,1,9,0.2927389334917068,94.15,0.48263335313796996
0,1,10,0.23411837682724,94.07,0.46292334928512574
0,1,11,0.2072671528895696,94.75,0.4776165219306946
0,1,12,0.18116430393854777,95.1,0.4640095757484436
0,1,13,0.16633056882619857,94.98,0.4457270028114319
0,1,14,0.149657501355807,95.3,0.46222143831253054
0,1,15,0.13211652720769246,95.5,0.4685132085800171
0,1,16,0.13057700358629226,95.2,0.5065063404083252
0,1,17,0.11963809512456258,95.84,0.5065434880256653
0,1,18,0.10255745409329732,95.2,0.5181485382080078
0,1,19,0.11670513539512953,96.13,0.6242404977798461
0,1,20,0.08153375320434571,95.82,0.6206910190582275
0,1,21,0.07444286152124405,96.11,0.6619514387130737
0,1,22,0.08242958062887192,96.25,0.5762280197143554
0,1,23,0.062385692660013835,96.34,0.6046008914947509
0,1,24,0.06930711710651716,95.84,0.6498698647499085
0,1,25,0.07018079754511515,95.93,0.6641748668670654
0,1,26,0.06090274552702904,96.06,0.6913986294746399
0,1,27,0.048381340364615125,96.46,0.7349767335891724
0,1,28,0.052147562263409296,96.11,0.8441326719284058
0,1,29,0.05452543390194575,95.97,0.6431922277450561
0,1,30,0.05807837892373403,96.01,0.7584313751220703
0,2,1,0.043526421069602174,96.16,0.7537998317718506
0,2,2,0.039438114732503894,96.3,0.7458374378204345
0,2,3,0.03688933889865875,96.38,0.7424048295974731
0,2,4,0.03529572942654292,96.39,0.7425249523162841
0,2,5,0.033733640770117444,96.41,0.7386568471908569
0,2,6,0.0328914104561011,96.53,0.7374497776031494
0,2,7,0.030873288608094056,96.57,0.7364335153579712
0,2,8,0.029265421704451244,96.62,0.7318904764175415
0,2,9,0.027821658770243327,96.53,0.7312569236755371
0,2,10,0.026552011398474375,96.71,0.727139024925232
0,2,11,0.024232625194390615,96.75,0.7281011589050292
0,2,12,0.02245713522831599,96.83,0.728969899559021
0,2,13,0.020729820623000463,96.97,0.7216060270309448
0,2,14,0.019027207990487415,97.03,0.7202762338638306
0,2,15,0.01759012397527695,97.03,0.7223031785964966
0,2,16,0.016897261494522295,97.07,0.7205755758285523
0,2,17,0.015952201613783835,97.16,0.7214595170974731
0,2,18,0.014793319889903069,97.14,0.7231588459014893
0,2,19,0.013345035405953725,97.18,0.7178973693847657
0,2,20,0.014492625831315914,97.14,0.7180915939331055
0,2,21,0.013299345499525467,97.13,0.722513564491272
0,2,22,0.011698227681716283,97.15,0.7222029251098633
0,2,23,0.010885852157945434,97.09,0.7201135129928589
0,2,24,0.010294441856940588,97.14,0.7204248723983765
0,2,25,0.009976592299342155,97.17,0.7198593181610108
0,2,26,0.009998472607135774,97.08,0.7255485731124878
0,2,27,0.010676596294095118,97.15,0.7186418420791626
0,2,28,0.009877276410907507,97.12,0.7199362449645996
0,2,29,0.00817891454709073,97.28,0.7216676076889038
0,2,30,0.007445649372475843,97.23,0.7219733818054199
0,3,1,0.007427355916704983,97.18,0.7235842512130737
0,3,2,0.006936768510937691,97.22,0.7222972557067872
0,3,3,0.006587909919520219,97.23,0.7218552614212036
0,3,4,0.006449407565655808,97.22,0.7211283714294433
0,3,5,0.006262583403040966,97.24,0.720782889175415
0,3,6,0.006103466269249717,97.24,0.7203472274780274
0,3,7,0.005860126023211827,97.28,0.7213720365524292
0,3,8,0.00577786764819175,97.26,0.7202153659820557
0,3,9,0.0056343635785082976,97.22,0.720731234550476
0,3,10,0.00537704389890035,97.29,0.7197248907089233
0,3,11,0.005201074331005414,97.23,0.7203925720214843
0,3,12,0.005039127215122183,97.26,0.7200177610397339
0,3,13,0.004818128262460232,97.22,0.7202902286529541
0,3,14,0.00483356281456848,97.19,0.7220444265365601
0,3,15,0.004736947622274359,97.23,0.7194943412780762
0,3,16,0.00463516067850093,97.24,0.7195727931976318
0,3,17,0.004526763387893637,97.26,0.7192566543579102
0,3,18,0.0043784404740979275,97.21,0.7207859125137329
0,3,19,0.004172434701522191,97.21,0.7202486238479614
0,3,20,0.004110859823475282,97.22,0.7192619419097901
0,3,21,0.004220757473260164,97.26,0.7205904256820679
0,3,22,0.004003254092298448,97.24,0.7187961406707764
0,3,23,0.004095040728896856,97.26,0.7183951065063476
0,3,24,0.0038265361829350393,97.31,0.7183054710388184
0,3,25,0.00361783842133979,97.32,0.7188337535858155
0,3,26,0.0035028418665130935,97.32,0.7186266815185547
0,3,27,0.0035825205438925574,97.34,0.7179135860443115
0,3,28,0.0032447558320127428,97.32,0.717707015800476
0,3,29,0.003273786577830712,97.28,0.7188113832473755
0,3,30,0.003024870193998019,97.32,0.720600325012207
0,4,1,0.0028488606450768807,97.29,0.7210450105667114
0,4,2,0.0027908326111423473,97.28,0.7210918613433838
0,4,3,0.0027551763211687407,97.29,0.7211365926742553
0,4,4,0.002731216542981565,97.32,0.721221063041687
0,4,5,0.0027161485419919095,97.32,0.7213297496795654
0,4,6,0.0027051637886092066,97.33,0.7214180473327637
0,4,7,0.0026966616600751876,97.33,0.7214748519897461
0,4,8,0.002688653963881855,97.32,0.7216279937744141
0,4,9,0.0026857443747421105,97.32,0.721690802192688
0,4,10,0.002682255880534649,97.32,0.7217229511260986
0,4,11,0.002680524454599557,97.33,0.721765771484375
0,4,12,0.0026775288365781308,97.32,0.7218086675643921
0,4,13,0.0026778275162447243,97.32,0.7218528833389283
0,4,14,0.0026765870840599138,97.32,0.7219381057739258
0,4,15,0.002674760047098001,97.32,0.7219694107055664
0,4,16,0.002674726250891884,97.32,0.7220045377731323
0,4,17,0.0026738394813612103,97.32,0.7220410926818848
0,4,18,0.002673096692127486,97.32,0.7220687313079834
0,4,19,0.002672751931504657,97.32,0.7221071588516236
0,4,20,0.0026717172514647246,97.32,0.7221043046951294
0,4,21,0.002671405628633996,97.32,0.7221429355621338
0,4,22,0.002670562161008517,97.32,0.7221823076248169
0,4,23,0.0026699868995696307,97.32,0.7221922412872315
0,4,24,0.0026699316715821622,97.32,0.7221938034057617
0,4,25,0.0026704900136217476,97.32,0.7222042533874512
0,4,26,0.0026709297709787885,97.32,0.7222481744766235
0,4,27,0.002669199099143346,97.32,0.7222819015502929
0,4,28,0.002669570486061275,97.32,0.7222752885818482
0,4,29,0.0026688603188842535,97.32,0.722311414527893
0,4,30,0.002670324633891384,97.32,0.7223642965316772
0,5,1,0.0027998928148299457,97.26,0.7237986190795899
0,5,2,0.0026900994846597312,97.24,0.7231997346878052
0,5,3,0.0026030542746186256,97.27,0.7231516513824463
0,5,4,0.002566885273034374,97.27,0.7222115556716919
0,5,5,0.0024984496789363523,97.32,0.7216099441528321
0,5,6,0.002400407144178947,97.3,0.7218110633850098
0,5,7,0.0023838430299113196,97.33,0.7211814231872559
0,5,8,0.002299976618262008,97.31,0.7213404153823852
0,5,9,0.0022151606771474083,97.31,0.7214637195587158
0,5,10,0.002147842917094628,97.3,0.7206144523620606
0,5,11,0.0020981209478651485,97.32,0.7194316200256348
0,5,12,0.0020293339810644588,97.3,0.7205994920730591
0,5,13,0.0019516637299209832,97.34,0.7189629739761353
0,5,14,0.0019104779028333724,97.35,0.7183030864715576
0,5,15,0.0018862205776075521,97.34,0.7167976272583008
0,5,16,0.0018433693930196265,97.33,0.7180077131271362
0,5,17,0.0018231910046190023,97.31,0.719031690788269
0,5,18,0.0018651667873064678,97.31,0.7187736373901367
0,5,19,0.0017464687341824175,97.33,0.7162676893234253
