layer,shape,gradient_rms,parameter_rms,relative_gradient,epoch,train_loss,test_accuracy
0,784->128,0.0002957822343354265,0.02060772416963667,0.01435297910076251,1,1.8083755051294963,39.62
1,128->64,0.0005512045098616533,0.05113366646701659,0.010779678985202913,1,1.8083755051294963,39.62
2,64->32,0.0010685481252725299,0.07270271812582038,0.014697498976703834,1,1.8083755051294963,39.62
3,32->2,0.013567866833995523,0.09821773982158624,0.1381406949345768,1,1.8083755051294963,39.62
4,2->10,0.026385023818702183,0.4218427292525813,0.06254706313271888,1,1.8083755051294963,39.62
0,784->128,0.0009353480116152529,0.035052223078343825,0.02668441341075599,2,1.412956575012207,53.22
1,128->64,0.0038686619925029776,0.06745323469879187,0.05735324643393142,2,1.412956575012207,53.22
2,64->32,0.0056674551683003884,0.0883431302235559,0.06415275476309826,2,1.412956575012207,53.22
3,32->2,0.03391191337586411,0.14136026174404176,0.23989707543855462,2,1.412956575012207,53.22
4,2->10,0.04115219162652001,0.39196508314202816,0.10498943246815576,2,1.412956575012207,53.22
0,784->128,0.0006496659622877882,0.04256077268344294,0.015264430632042024,3,1.2125328532536825,57.53
1,128->64,0.0015049891790570914,0.080695264611932,0.018650278752737445,3,1.2125328532536825,57.53
2,64->32,0.0017930990315219728,0.10406011796129701,0.017231376118290075,3,1.2125328532536825,57.53
3,32->2,0.0109637512974411,0.17282091700590124,0.06343995557553538,3,1.2125328532536825,57.53
4,2->10,0.039836933918035,0.40929491943932955,0.09733063379459506,3,1.2125328532536825,57.53
0,784->128,0.0007602555533095297,0.0475967718345482,0.01597283857687433,4,1.0586787556330364,63.78
1,128->64,0.0018766030841611114,0.08905672811112544,0.02107199673671375,4,1.0586787556330364,63.78
2,64->32,0.001910205037935555,0.11481089340301252,0.01663783793767426,4,1.0586787556330364,63.78
3,32->2,0.012033390356304484,0.190340014554106,0.06322049719514261,4,1.0586787556330364,63.78
4,2->10,0.04796848479807521,0.44591245335414786,0.10757377246845047,4,1.0586787556330364,63.78
0,784->128,0.0008604223513090888,0.05187316311324168,0.016587042309607326,5,0.8245972939491272,82.59
1,128->64,0.0023515668603881325,0.0965559656669286,0.024354444017219472,5,0.8245972939491272,82.59
2,64->32,0.0027415804706401553,0.12707358164556581,0.0215747477572908,5,0.8245972939491272,82.59
3,32->2,0.029213877688546913,0.20696364917903484,0.14115463176402615,5,0.8245972939491272,82.59
4,2->10,0.07675819101636643,0.5043884178497703,0.15218071688370194,5,0.8245972939491272,82.59
0,784->128,0.001122663557525478,0.05628630360215746,0.019945590412913536,6,0.5942465829054514,86.66
1,128->64,0.0031132440410337695,0.10515964677515677,0.029604930564864226,6,0.5942465829054514,86.66
2,64->32,0.004936590490419099,0.1417152408366465,0.03483457715091219,6,0.5942465829054514,86.66
3,32->2,0.04140943759969222,0.22840530801210232,0.18129805283385442,6,0.5942465829054514,86.66
4,2->10,0.08681285516193867,0.6028250651799308,0.1440100290718383,6,0.5942465829054514,86.66
0,784->128,0.0007809740950080466,0.061691733190201596,0.012659298979128507,7,0.48506520574887596,86.26
1,128->64,0.00203179488583669,0.11483182788769812,0.017693656220521256,7,0.48506520574887596,86.26
2,64->32,0.002200403193457606,0.15813113229182987,0.013915053674458376,7,0.48506520574887596,86.26
3,32->2,0.0139541784611612,0.2554241573199823,0.05463139668353879,7,0.48506520574887596,86.26
4,2->10,0.07538109078346852,0.6832707802899214,0.1103238905538635,7,0.48506520574887596,86.26
0,784->128,0.0008581801927663269,0.06593259866379385,0.013016022576773862,8,0.41908158796628314,86.91
1,128->64,0.00248236940951842,0.12164228149574381,0.020407126362430725,8,0.41908158796628314,86.91
2,64->32,0.003817253567123427,0.16890869367113437,0.022599509143875266,8,0.41908158796628314,86.91
3,32->2,0.0518741602090082,0.27452763809601893,0.18895787895379668,8,0.41908158796628314,86.91
4,2->10,0.14344891716615377,0.7465821376989241,0.1921408374543922,8,0.41908158796628314,86.91
0,784->128,0.0007018212355247829,0.06974368780295823,0.01006286386084895,9,0.37361594271659854,94.11
1,128->64,0.00184675996469221,0.12822700041102875,0.01440227065093982,9,0.37361594271659854,94.11
2,64->32,0.0030237094413272272,0.17986510119189,0.016810984572735742,9,0.37361594271659854,94.11
3,32->2,0.0228186367675059,0.2923950311247204,0.07804043960546862,9,0.37361594271659854,94.11
4,2->10,0.06052829248335765,0.8009005325920833,0.0755752930858775,9,0.37361594271659854,94.11
0,784->128,0.0015898325136109864,0.07358286778170027,0.021606014572657966,10,0.31127186290423076,95.0
1,128->64,0.0036489395793322813,0.13331631020475418,0.027370541336620237,10,0.31127186290423076,95.0
2,64->32,0.003959353103084578,0.18856329615592823,0.02099747503241289,10,0.31127186290423076,95.0
3,32->2,0.038489728783614015,0.30592907680733245,0.1258125876270604,10,0.31127186290423076,95.0
4,2->10,0.13045667813872547,0.8541673117534404,0.15272965418305506,10,0.31127186290423076,95.0
0,784->128,0.001769789658957089,0.0767026204461919,0.023073392390492716,11,0.2669565125783285,95.21
1,128->64,0.0034349755901402707,0.13851211924293588,0.02479909778934853,11,0.2669565125783285,95.21
2,64->32,0.002183062176500744,0.19705168187476516,0.011078627473360494,11,0.2669565125783285,95.21
3,32->2,0.015849331434701634,0.3200531771361433,0.04952093141668821,11,0.2669565125783285,95.21
4,2->10,0.05267664301163454,0.9103274466809534,0.05786559902553229,11,0.2669565125783285,95.21
0,784->128,0.0011810523769140665,0.07959189466650769,0.014838852396313352,12,0.23797328073183696,94.69
1,128->64,0.0036247595309333636,0.1430125267267707,0.02534574847302166,12,0.23797328073183696,94.69
2,64->32,0.00290441904970662,0.20429412415918194,0.01421685063946987,12,0.23797328073183696,94.69
3,32->2,0.017899891608875205,0.3317690325363363,0.053952870380875005,12,0.23797328073183696,94.69
4,2->10,0.11694174150211863,0.9596623507083868,0.12185717342737762,12,0.23797328073183696,94.69
0,784->128,0.002288388314362626,0.08262705187050148,0.027695388647309385,13,0.19992922809918723,96.05
1,128->64,0.00434691619765454,0.14749234922625362,0.029472146999007298,13,0.19992922809918723,96.05
2,64->32,0.004898788314165589,0.21133812717018632,0.02317986053788351,13,0.19992922809918723,96.05
3,32->2,0.03783482037929249,0.3395848443980265,0.11141492620570247,13,0.19992922809918723,96.05
4,2->10,0.11732484719354883,1.001710636572359,0.11712448975773324,13,0.19992922809918723,96.05
0,784->128,0.0007480858608634217,0.08532921239272444,0.00876705456288074,14,0.15756021090348563,96.5
1,128->64,0.0023015734180961435,0.15168046361293475,0.015173829003807844,14,0.15756021090348563,96.5
2,64->32,0.002947847350225071,0.21765042265330733,0.013543954173280503,14,0.15756021090348563,96.5
3,32->2,0.029357981693565127,0.34735700286049964,0.08451818000419277,14,0.15756021090348563,96.5
4,2->10,0.20662926967829406,1.0360104741802987,0.19944708555343674,14,0.15756021090348563,96.5
0,784->128,0.0007154219613929322,0.0872519525977313,0.008199495141193378,15,0.13159917805989582,96.07
1,128->64,0.002058940238820695,0.15479879159697066,0.01330075136612169,15,0.13159917805989582,96.07
2,64->32,0.0023938482230650474,0.22284284323356024,0.010742315922371027,15,0.13159917805989582,96.07
3,32->2,0.02713695740789333,0.35594353097429654,0.07623950162414024,15,0.13159917805989582,96.07
4,2->10,0.17965076496361454,1.0699212094588413,0.16791027542515277,15,0.13159917805989582,96.07
0,784->128,0.0008449146189971459,0.08928068193223924,0.009463577122192474,16,0.1171013069152832,96.19
1,128->64,0.0024320094435351736,0.157919263324051,0.01540033427416185,16,0.1171013069152832,96.19
2,64->32,0.0025534996586134007,0.22773058520464398,0.01121280945336154,16,0.1171013069152832,96.19
3,32->2,0.018540654319272345,0.3641528529148717,0.0509144832199233,16,0.1171013069152832,96.19
4,2->10,0.18965272122700477,1.1020808738483947,0.17208602900854064,16,0.1171013069152832,96.19
0,784->128,0.0005303485308669754,0.09120458631638163,0.005814932694518481,17,0.11328337837457657,96.31
1,128->64,0.0015533866964790152,0.16061252949270846,0.009671640820150738,17,0.11328337837457657,96.31
2,64->32,0.0015929514354468132,0.23238850744270423,0.006854691107445162,17,0.11328337837457657,96.31
3,32->2,0.01332627447316761,0.371891123986374,0.03583380622340438,17,0.11328337837457657,96.31
4,2->10,0.12115967080493194,1.1251274884360327,0.10768528193479701,17,0.11328337837457657,96.31
0,784->128,0.0006350881601101356,0.09332607828436294,0.006805044975405779,18,0.09479842657248179,96.24
1,128->64,0.001834856286615236,0.16344021767335404,0.011226467467579429,18,0.09479842657248179,96.24
2,64->32,0.0029835185137146213,0.23687456936857101,0.012595351715699562,18,0.09479842657248179,96.24
3,32->2,0.01781092546704126,0.3780520938906099,0.047112357674568985,18,0.09479842657248179,96.24
4,2->10,0.08207349445171075,1.1449632473839968,0.07168220869897785,18,0.09479842657248179,96.24
0,784->128,0.001210793573290501,0.09505932848977623,0.012737240968496703,19,0.08646909566521645,96.46
1,128->64,0.0024578112626201945,0.16569516445574428,0.01483333126032064,19,0.08646909566521645,96.46
2,64->32,0.002268153109859981,0.24048033904635902,0.009431761111303581,19,0.08646909566521645,96.46
3,32->2,0.021026541795811503,0.3845660907364453,0.05467601617056494,19,0.08646909566521645,96.46
4,2->10,0.2692314925025476,1.1640924573623537,0.2312801623269268,19,0.08646909566521645,96.46
0,784->128,0.00041614301611475217,0.09656638478450102,0.004309398317428095,20,0.0825296157836914,96.05
1,128->64,0.00110830578946037,0.1679144144630304,0.00660042077386861,20,0.0825296157836914,96.05
2,64->32,0.002362648094361489,0.24451047337276352,0.009662768476791988,20,0.0825296157836914,96.05
3,32->2,0.01759802081614381,0.3915555087019877,0.04494387238845539,20,0.0825296157836914,96.05
4,2->10,0.11880365799905375,1.1835881366323846,0.1003758438615147,20,0.0825296157836914,96.05
0,784->128,0.002536176587544226,0.09826588367179254,0.025809329675284164,21,0.08970916837851206,96.46
1,128->64,0.006715772762988585,0.16972959463166234,0.0395674824860285,21,0.08970916837851206,96.46
2,64->32,0.005527735132759815,0.24794907244689177,0.022293832673729832,21,0.08970916837851206,96.46
3,32->2,0.045417088983107486,0.3974546144136027,0.11426987468745524,21,0.08970916837851206,96.46
4,2->10,0.20340724539485378,1.1994135695274593,0.1695889145850016,21,0.08970916837851206,96.46
0,784->128,0.0007104429415600077,0.10023679876934195,0.007087645957127408,22,0.06517337454855442,96.51
1,128->64,0.0020025789810698864,0.17211232252341768,0.01163530275867249,22,0.06517337454855442,96.51
2,64->32,0.0018970614547381833,0.2513544207992545,0.0075473566317169885,22,0.06517337454855442,96.51
3,32->2,0.01492211205324685,0.40182498232078806,0.037135849461188995,22,0.06517337454855442,96.51
4,2->10,0.12754377816957393,1.2140463678637488,0.10505676022399087,22,0.06517337454855442,96.51
0,784->128,0.0007781650961217553,0.10127793728140218,0.007683461146645682,23,0.057135304458936054,96.89
1,128->64,0.0019804159818575424,0.17379612607793446,0.011395052505129373,23,0.057135304458936054,96.89
2,64->32,0.002356055582641894,0.25445979694967413,0.009259048426807496,23,0.057135304458936054,96.89
3,32->2,0.009841653116488082,0.4079041048838218,0.024127369640634114,23,0.057135304458936054,96.89
4,2->10,0.07752134707810382,1.2329906829622221,0.06287261383986965,23,0.057135304458936054,96.89
0,784->128,0.0006432053659000441,0.10232765933776379,0.006285742975617784,24,0.06820475689967473,96.69
1,128->64,0.0013736337552335664,0.17505948249978473,0.007846668661478585,24,0.06820475689967473,96.69
2,64->32,0.0012423657938686265,0.2575983319451409,0.004822879808586581,24,0.06820475689967473,96.69
3,32->2,0.0177894891619342,0.4144239434833604,0.04292582376482681,24,0.06820475689967473,96.69
4,2->10,0.14040347090225425,1.2506103805559365,0.11226795577990334,24,0.06820475689967473,96.69
0,784->128,0.0017947114671727903,0.10404190300107802,0.017249890816942715,25,0.06755040114720662,96.11
1,128->64,0.004033576487233263,0.17682443704314144,0.022811193716546906,25,0.06755040114720662,96.11
2,64->32,0.002172871154315453,0.2617695872908017,0.008300701302987098,25,0.06755040114720662,96.11
3,32->2,0.008203280927047966,0.41799189493490424,0.01962545452778666,25,0.06755040114720662,96.11
