condition,trial,step,ensemble_accuracy,member_accuracy_mean,parameter_cosine_mean,parameter_relative_spread,logit_correlation_mean,prediction_disagreement_mean
independent,0,0,8.642578125,9.698486328125,-0.0014543235135663832,2.6628496646881104,0.0616005792580836,88.04408482142857
independent,0,100,76.025390625,16.2353515625,0.00905573704013867,2.551386833190918,-0.0643191598771539,91.88406808035714
independent,0,200,99.267578125,16.5283203125,0.008857586953256811,2.5543742179870605,-0.08025342023548936,92.10728236607143
independent,0,300,100.0,16.326904296875,0.007993931050545402,2.5628788471221924,-0.08304406329989433,92.14390345982143
independent,0,400,100.0,16.29638671875,0.008141851884179882,2.5615394115448,-0.08387214597314596,92.10205078125
independent,0,500,100.0,16.34521484375,0.008229942925806557,2.5607175827026367,-0.08428965562156268,92.14564732142857
independent,0,600,100.0,16.30859375,0.008222593842739505,2.5608127117156982,-0.08462205276425395,92.138671875
independent,0,700,100.0,16.4306640625,0.008248146282442446,2.560589551925659,-0.08486383611203305,92.14041573660714
independent,0,800,100.0,16.40625,0.008262755432432252,2.5604584217071533,-0.08497270372962314,92.16482979910714
noise_0,0,0,10.498046875,10.498046875,1.0,0.0,1.0,0.0
noise_0,0,100,24.658203125,24.658203125,0.9999999787126269,0.0,1.0,0.0
noise_0,0,200,31.396484375,31.396484375,0.999999965940203,0.0,0.9999999403953552,0.0
noise_0,0,300,36.1328125,36.1328125,0.9999999872275761,0.0,0.9999999403953552,0.0
noise_0,0,400,39.84375,39.84375,1.0000001192092896,0.0,1.0,0.0
noise_0,0,500,41.064453125,41.064453125,1.0,0.0,1.0,0.0
noise_0,0,600,42.138671875,42.138671875,0.9999999744551522,0.0,1.0,0.0
noise_0,0,700,42.236328125,42.236328125,1.0,0.0,1.0,0.0
noise_0,0,800,43.75,43.75,1.0,0.0,0.9999998807907104,0.0
noise_1e-05,0,0,10.498046875,10.498046875,0.9999998744044986,0.0002473999047651887,0.9999998956918716,0.0
noise_1e-05,0,100,32.861328125,21.099853515625,0.7614939170224326,0.5138566493988037,0.25662890788433806,75.87367466517857
noise_1e-05,0,200,86.083984375,19.439697265625,0.4508656029190336,0.9633103609085083,-0.02240664799631174,88.82359095982143
noise_1e-05,0,300,99.658203125,18.8720703125,0.4138809655393873,1.0277460813522339,-0.037360259398285835,90.12102399553571
noise_1e-05,0,400,100.0,18.75,0.4091872445174626,1.0362834930419922,-0.04262693873274007,90.34946986607143
noise_1e-05,0,500,100.0,18.524169921875,0.40789287430899485,1.0386812686920166,-0.043855607750759064,90.44886997767857
noise_1e-05,0,600,100.0,18.402099609375,0.406800209411553,1.0407003164291382,-0.044868635113484094,90.53083147321429
noise_1e-05,0,700,100.0,18.353271484375,0.40606266260147095,1.0420756340026855,-0.045559823546292524,90.58314732142857
noise_1e-05,0,800,100.0,18.42041015625,0.40556209427969797,1.0430083274841309,-0.0460083522401484,90.63023158482143
noise_0.0001,0,0,10.546875,10.546875,0.9999929879392896,0.0024799550883471966,0.9999997211354119,0.0
noise_0.0001,0,100,44.873046875,19.744873046875,0.5636421367526054,0.7886887788772583,0.0758590853324027,84.92606026785714
noise_0.0001,0,200,93.310546875,18.85986328125,0.3656932647739138,1.1167466640472412,-0.036595917737161344,90.2587890625
noise_0.0001,0,300,100.0,18.798828125,0.34175720172269003,1.1650503873825073,-0.04704798037918018,91.06619698660714
noise_0.0001,0,400,100.0,18.56689453125,0.33820517148290363,1.1723880767822266,-0.05125000461911051,91.19698660714286
noise_0.0001,0,500,100.0,18.414306640625,0.33635836626802174,1.1762449741363525,-0.052444351837038994,91.33126395089286
noise_0.0001,0,600,100.0,18.42041015625,0.3348760200398309,1.179356575012207,-0.05347411531589127,91.37660435267857
noise_0.0001,0,700,100.0,18.353271484375,0.33385563854660305,1.1814911365509033,-0.05419938272591805,91.41148158482143
noise_0.0001,0,800,100.0,18.26171875,0.3329647736889975,1.1833759546279907,-0.05459719683156956,91.47774832589286
noise_0.001,0,0,9.27734375,9.27734375,0.9992256654160363,0.0260434839874506,0.999936791402953,0.0
noise_0.001,0,100,61.962890625,18.896484375,0.3933102179850851,1.0639818906784058,-0.015595258105479713,88.19405691964286
noise_0.001,0,200,98.2421875,19.525146484375,0.30239293937172207,1.2523480653762817,-0.05364308937402841,90.32505580357143
noise_0.001,0,300,100.0,19.073486328125,0.2940008815910135,1.271834373474121,-0.05968655752284186,90.82380022321429
noise_0.001,0,400,100.0,19.061279296875,0.2916835349585329,1.2773280143737793,-0.06154575205541083,90.83949497767857
noise_0.001,0,500,100.0,19.15283203125,0.29037449083157946,1.2804561853408813,-0.06248379658375468,90.869140625
noise_0.001,0,600,100.0,19.1650390625,0.2895416553531374,1.282448649406433,-0.06306826642581395,90.87088448660714
noise_0.001,0,700,100.0,19.140625,0.28881201573780607,1.2842015027999878,-0.06348998764795917,90.83949497767857
noise_0.001,0,800,100.0,19.122314453125,0.28814671507903505,1.2858059406280518,-0.06386644759082369,90.89181082589286
noise_0.01,0,0,9.66796875,9.66796875,0.9377568002258029,0.24016334116458893,0.9958291160208839,0.0
noise_0.01,0,100,53.3203125,14.404296875,0.2701050623186997,1.3337664604187012,-0.06499045927609716,90.72265625
noise_0.01,0,200,95.458984375,14.727783203125,0.19003048964909144,1.560041069984436,-0.09408365414544408,93.73604910714286
noise_0.01,0,300,100.0,14.349365234375,0.18073797917791776,1.5907304286956787,-0.09795403442279037,93.84242466517857
noise_0.01,0,400,100.0,14.361572265625,0.1790401568370206,1.5965337753295898,-0.09911811607889831,93.93310546875
noise_0.01,0,500,100.0,14.373779296875,0.17807478457689285,1.5998655557632446,-0.09966324758715928,93.9697265625
noise_0.01,0,600,100.0,14.276123046875,0.17771138889448984,1.6010149717330933,-0.10005707732800927,94.00634765625
noise_0.01,0,700,100.0,14.29443359375,0.17699819962893212,1.6034678220748901,-0.10022055760159024,94.01681082589286
noise_0.01,0,800,100.0,14.263916015625,0.1763401622218745,1.6057367324829102,-0.10043313034943172,94.04820033482143
noise_0.1,0,0,10.791015625,10.345458984375,0.1043660958696689,1.9043629169464111,0.5278846328811986,71.22977120535714
noise_0.1,0,100,74.70703125,17.08984375,0.041476975876971016,2.2778337001800537,-0.058497817401075736,91.28941127232143
noise_0.1,0,200,99.51171875,17.926025390625,0.034289938564013155,2.33284592628479,-0.0722823136353067,92.32352120535714
noise_0.1,0,300,100.0,17.90771484375,0.033461626851931214,2.339280366897583,-0.07502550356106699,92.33049665178571
noise_0.1,0,400,100.0,17.864990234375,0.033465346188417504,2.3392980098724365,-0.07598752831940406,92.39676339285714
noise_0.1,0,500,100.0,17.840576171875,0.03345247918540346,2.339425802230835,-0.07644315555392366,92.39501953125
noise_0.1,0,600,100.0,17.8955078125,0.033514683484099805,2.338956117630005,-0.07685919836096998,92.42117745535714
noise_0.1,0,700,100.0,17.877197265625,0.033544725073235374,2.338735580444336,-0.07708961165709687,92.40548270089286
noise_0.1,0,800,100.0,17.852783203125,0.033518790816222985,2.33894419670105,-0.07727959767050509,92.45954241071429
independent,1,0,9.66796875,10.36376953125,-0.0033898346674894647,2.6822562217712402,0.07493311739692997,85.44224330357143
independent,1,100,75.68359375,16.85791015625,0.013855278541866158,2.509671449661255,-0.06427190085482185,90.47677176339286
independent,1,200,99.21875,17.1875,0.015187920237492238,2.4995086193084717,-0.07788772486882019,91.49867466517857
independent,1,300,100.0,17.205810546875,0.014087545319593378,2.5103330612182617,-0.08228186699644928,91.48472377232143
independent,1,400,100.0,17.19970703125,0.01378159602505288,2.513291835784912,-0.08312823055686229,91.48472377232143
independent,1,500,100.0,17.193603515625,0.014026063893522536,2.5111021995544434,-0.08362842076530796,91.50913783482143
independent,1,600,100.0,17.071533203125,0.013953832709895713,2.511838912963867,-0.08400466208279665,91.552734375
independent,1,700,100.0,17.15087890625,0.013921356294304132,2.5121641159057617,-0.08419973777407515,91.48472377232143
independent,1,800,100.0,17.120361328125,0.014012241519854538,2.511345386505127,-0.08434040205819267,91.51960100446429
noise_0,1,0,9.86328125,9.86328125,1.0000000127724238,0.0,1.0,0.0
noise_0,1,100,23.73046875,23.73046875,0.9999999403953552,0.0,1.0,0.0
noise_0,1,200,31.54296875,31.54296875,1.0000001192092896,0.0,1.0,0.0
noise_0,1,300,35.7421875,35.7421875,1.0000000127724238,0.0,0.9999999403953552,0.0
noise_0,1,400,36.1328125,36.1328125,1.0,0.0,1.0,0.0
noise_0,1,500,39.74609375,39.74609375,1.0,0.0,1.0,0.0
noise_0,1,600,40.8203125,40.8203125,0.9999998807907104,0.0,1.0,0.0
noise_0,1,700,40.8203125,40.8203125,0.9999999403953552,0.0,1.0,0.0
noise_0,1,800,40.234375,40.234375,1.0,0.0,0.9999998807907104,0.0
noise_1e-05,1,0,9.66796875,9.66796875,0.9999999127217701,0.00023770765983499587,0.9999998935631343,0.0
noise_1e-05,1,100,36.181640625,16.864013671875,0.656762855393546,0.6595044732093811,0.04706989035392845,82.70612444196429
noise_1e-05,1,200,86.328125,16.0400390625,0.3641390736613955,1.1217501163482666,-0.07584283484279045,91.12374441964286
noise_1e-05,1,300,99.951171875,16.1865234375,0.3195297670151506,1.2146577835083008,-0.08292493817030586,91.96079799107143
noise_1e-05,1,400,100.0,16.156005859375,0.31227528250643183,1.2306625843048096,-0.08530035139327603,92.06891741071429
noise_1e-05,1,500,100.0,16.0400390625,0.30967143550515175,1.2365689277648926,-0.0860124230447192,92.15262276785714
noise_1e-05,1,600,100.0,15.93017578125,0.3078498441193785,1.240718960762024,-0.08645082119619474,92.18226841517857
noise_1e-05,1,700,100.0,15.972900390625,0.3063631909234183,1.2441105842590332,-0.08666969056295264,92.22586495535714
noise_1e-05,1,800,100.0,15.91796875,0.30519444442221094,1.2467973232269287,-0.08696228045820524,92.24853515625
noise_0.0001,1,0,9.228515625,9.228515625,0.9999925494194031,0.0025585214607417583,0.9999996487583432,0.0
noise_0.0001,1,100,48.046875,16.241455078125,0.5235273018479347,0.8466333746910095,0.0005002127561186041,89.99372209821429
noise_0.0001,1,200,95.21484375,16.064453125,0.342758871614933,1.1636083126068115,-0.060431656203166186,90.84821428571429
noise_0.0001,1,300,100.0,16.180419921875,0.3241159128291266,1.2030490636825562,-0.06687604646763898,91.51785714285714
noise_0.0001,1,400,100.0,16.412353515625,0.32059324213436674,1.2107243537902832,-0.06841640660422854,91.49693080357143
noise_0.0001,1,500,100.0,16.39404296875,0.3185598094548498,1.215193510055542,-0.06931548690935026,91.58063616071429
noise_0.0001,1,600,100.0,16.39404296875,0.3170173295906612,1.218597412109375,-0.06981322966878777,91.54924665178571
noise_0.0001,1,700,100.0,16.412353515625,0.3159585478050368,1.220950961112976,-0.07019465034474186,91.60330636160714
noise_0.0001,1,800,100.0,16.363525390625,0.31501091378075735,1.2230546474456787,-0.07049365426480238,91.59981863839286
noise_0.001,1,0,9.228515625,9.228515625,0.9993183761835098,0.02443634159862995,0.9999706042664391,0.0
noise_0.001,1,100,48.6328125,17.85888671875,0.4486860856413841,0.9686868190765381,0.018523746053688228,84.814453125
noise_0.001,1,200,93.45703125,17.56591796875,0.31411433113472803,1.2264177799224854,-0.045602337841825956,90.02511160714286
noise_0.001,1,300,100.0,18.05419921875,0.29698603972792625,1.2654976844787598,-0.05223737327781107,90.5517578125
noise_0.001,1,400,100.0,17.864990234375,0.29405643844178747,1.272583246231079,-0.05459172446613333,90.72614397321429
noise_0.001,1,500,100.0,17.68798828125,0.2916879781654903,1.2786263227462769,-0.05538716086136576,90.85518973214286
noise_0.001,1,600,100.0,17.681884765625,0.2903956776218755,1.2820055484771729,-0.055652119462528,90.86739676339286
noise_0.001,1,700,100.0,17.59033203125,0.2892026789486408,1.285142421722412,-0.056182664523865763,90.91796875
noise_0.001,1,800,100.0,17.620849609375,0.28824048968298094,1.2877726554870605,-0.05630640089241622,90.96854073660714
noise_0.01,1,0,10.791015625,10.791015625,0.9345145693847111,0.24666041135787964,0.9973520338535309,0.0
noise_0.01,1,100,56.201171875,13.9404296875,0.2533897879932608,1.3729053735733032,-0.06545812573416956,90.92843191964286
