vectors,trial,steps,mode,train_accuracy,train_nll,parameters
128,0,500,single,100.0,0.00019102482474409044,1482
128,0,500,bagging,100.0,1.3395781934377737e-05,11856
128,0,500,joint,100.0,4.610025825968478e-06,11856
128,0,500,dense,100.0,3.0733540370420087e-06,11791
128,1,500,single,100.0,0.00019356350821908563,1482
128,1,500,bagging,100.0,7.254896900121821e-06,11856
128,1,500,joint,100.0,3.794194071815582e-06,11856
128,1,500,dense,100.0,3.389070798220928e-06,11791
128,2,500,single,100.0,0.00020837961346842349,1482
128,2,500,bagging,100.0,9.09475602384191e-06,11856
128,2,500,joint,100.0,4.47777802037308e-06,11856
128,2,500,dense,100.0,3.574401944206329e-06,11791
512,0,500,single,100.0,0.006308449432253838,1482
512,0,500,bagging,100.0,0.0001235909148817882,11856
512,0,500,joint,100.0,0.00011686706420732662,11856
512,0,500,dense,100.0,0.00013005646178498864,11791
512,1,500,single,100.0,0.006061739753931761,1482
512,1,500,bagging,100.0,0.0001026006939355284,11856
512,1,500,joint,100.0,0.00013339213910512626,11856
512,1,500,dense,100.0,0.00012614642037078738,11791
512,2,500,single,100.0,0.0058959051966667175,1482
512,2,500,bagging,100.0,0.0001837426534621045,11856
512,2,500,joint,100.0,0.00013474360457621515,11856
512,2,500,dense,100.0,0.00013998118811286986,11791
2048,0,800,single,51.46484375,1.3910194635391235,1482
2048,0,800,bagging,93.45703125,0.6558091640472412,11856
2048,0,800,joint,100.0,0.0008816550252959132,11856
2048,0,800,dense,100.0,0.0009581155027262866,11791
2048,1,800,single,51.3671875,1.3562451601028442,1482
2048,1,800,bagging,94.677734375,0.6868920922279358,11856
2048,1,800,joint,100.0,0.0007791941752657294,11856
2048,1,800,dense,100.0,0.0009662267402745783,11791
2048,2,800,single,50.927734375,1.4131412506103516,1482
2048,2,800,bagging,94.23828125,0.6792365312576294,11856
2048,2,800,joint,100.0,0.000868756789714098,11856
2048,2,800,dense,100.0,0.000904638203792274,11791
8192,0,3200,single,21.66748046875,2.062614679336548,1482
8192,0,3200,bagging,60.97412109375,1.759678840637207,11856
8192,0,3200,joint,84.6435546875,0.4490799307823181,11856
8192,0,3200,dense,80.72509765625,0.5581260919570923,11791
8192,1,3200,single,24.23095703125,2.0562291145324707,1482
8192,1,3200,bagging,59.33837890625,1.773805022239685,11856
8192,1,3200,joint,83.55712890625,0.4925197958946228,11856
8192,1,3200,dense,77.2705078125,0.6313012838363647,11791
8192,2,3200,single,23.93798828125,2.0587921142578125,1482
8192,2,3200,bagging,60.02197265625,1.7648594379425049,11856
8192,2,3200,joint,83.3251953125,0.49893081188201904,11856
8192,2,3200,dense,79.0771484375,0.6090505123138428,11791
